TXNAME	GENEID	Bear_R1.sorted	CML10_R1.sorted	Chipie_R1.sorted	ChrystalPoumon_R1.sorted	ChrystalRate_R1.sorted	Popsi_R1.sorted	Twiny_R1.sorted	Vico_R1.sorted
BambuTx364	BambuGene324	0	16.38095	58.89655	0	0	0	0	0
BambuTx365	BambuGene324	0	112.61905	2.10345	0	3	0	0	1
BambuTx377	ENSCAFG00805002496	92.8	153.21429	408.55738	105.72973	85.17241	66.76923	192.53012	21.45
BambuTx383	ENSCAFG00805002947	16	94.63483	74.78841	13	29	19	23	1
BambuTx388	ENSCAFG00805003594	127.71351	117.30813	228.4175	238.77113	140.34628	390.62621	123.67458	49.65841
BambuTx392	ENSCAFG00805003604	62.79526	91.81861	178.28703	115.86201	11.81113	253.54406	75.15171	50.87412
BambuTx401	BambuGene991	0	0	26.72281	0	0	0	0	0
BambuTx406	ENSCAFG00805014058	482	873.81186	1828.90751	1440	675	794	649.75629	508.91873
BambuTx407	BambuGene356	17	22	19	36	20	28	13	33
BambuTx421	BambuGene370	15.28915	8	10.84283	0	1	6.60728	5.72901	5.80047
BambuTx424	ENSCAFG00805016363	17	14	15.625	17.4	15	16.66667	6	1
BambuTx439	ENSCAFG00805017909	4	3.11467	4	23.47677	3	3.12958	5.21175	14
BambuTx441	ENSCAFG00805018260	17.89474	67	92	72.91892	24	27	30	32
BambuTx446	ENSCAFG00805019620	32.41746	12.66667	19.16667	63.87499	0	47.73819	39.81107	5.14773
BambuTx450	ENSCAFG00805020439	11.18561	18.91108	40.39869	99.68352	21.67488	30.99905	43.36391	10.02193
BambuTx454	ENSCAFG00805021077	32.743	19.06054	177.64714	167.939	40.07668	26.88359	81.87124	36.06205
BambuTx460	ENSCAFG00805000284	16.5335	12.52643	21.93527	55.977	38.73781	27.23158	12.8439	36.37992
BambuTx462	ENSCAFG00805000405	24.65741	13.53288	37.65224	7.21278	9.83637	26.80057	68.20762	19.05875
BambuTx470	ENSCAFG00805000747	9.76547	14.26126	37.18594	26.0083	2.98328	32.58025	22.1433	28.37055
BambuTx474	ENSCAFG00805000782	21.03731	0	19.74545	24.58824	0	5.25806	9.81562	12.5
BambuTx475	ENSCAFG00805000782	77.58789	250.22034	320.86364	125.17647	36	154.23656	120.64063	37.5
BambuTx477	ENSCAFG00805000819	8.07766	5.3125	25.35714	9.22704	4.12185	12	26.4	0
BambuTx478	ENSCAFG00805000832	38.72222	18.18182	45	65.52	19	28.9	24.15789	35.76471
BambuTx483	ENSCAFG00805001209	38.94438	29.7134	125.67697	104.4848	56.63437	91.15072	26.45613	61.89095
BambuTx484	ENSCAFG00805001209	38.8044	26.81291	386.94911	27.50153	32.51683	45.57536	22.17697	26.96854
BambuTx493	ENSCAFG00805001417	19.55556	10.2	3	0	1	4	3.2	0
BambuTx509	ENSCAFG00805014909	11	38	12.6	27	37.27273	11.25	22	17
BambuTx532	ENSCAFG00805017497	4	0	5	23	7	1	7.5531	0
BambuTx540	ENSCAFG00805000066	30.87942	17.51397	46.54797	0	40.07692	0	83.5	17.54009
BambuTx541	ENSCAFG00805001875	61.09106	652.01016	961.29605	235.8078	95.7958	398.45826	552.18123	122.07448
BambuTx545	ENSCAFG00805002450	86.12235	246.86156	251.80886	168.71181	0.00001	216.29631	105.80036	108.64978
BambuTx548	ENSCAFG00805002536	8.368	17.88764	63.15575	19.92955	6.86303	22.88484	11.16291	2.62593
BambuTx550	ENSCAFG00805002536	1.27017	8.75603	21.92551	10.09103	3.50401	21.38817	17.16085	5.61722
BambuTx552	ENSCAFG00805002536	8.01096	6.48316	8.23546	5.27286	1.40391	16.01478	2.82083	4.88561
BambuTx567	ENSCAFG00805004116	2.90552	178.92143	1186.40956	92	4	26	30	4
BambuTx589	ENSCAFG00805000096	10.08682	8	24.83383	23.09859	14.3631	18.60934	10.41012	13.34459
BambuTx596	BambuGene449	7	6	94	36	38	24	9	47
BambuTx604	ENSCAFG00805000886	1	1	186.57692	1	0	0	0	0
BambuTx607	ENSCAFG00805001455	444.60606	892.76771	1267.26824	464.26957	161.43333	572.35179	956.90588	146.60752
BambuTx625	ENSCAFG00805003041	178.06483	20.83333	113.72549	82.83513	11.5	65.52318	151.52941	15
BambuTx634	BambuGene1075	14	1	49	17	0	0	20	7
BambuTx636	ENSCAFG00805000047	0	1	216	0	0	23	0	0
BambuTx639	ENSCAFG00805000597	0.08218	0	0	1.63015	0	1.21582	3.39557	0
BambuTx645	BambuGene486	903.47374	1716.2181	3768.23812	5308.93914	1322.84773	1181.94231	1169.82695	2099.88115
BambuTx647	BambuGene486	255.52626	772.7819	1680.76188	1391.06086	588.15227	422.05769	253.17305	790.11885
BambuTx648	ENSCAFG00805001800	82.406	100.64132	56.67564	175.25863	13.1764	29.52643	221.51389	41.19479
BambuTx650	ENSCAFG00805002326	33	20	72	129	86	16	49	52
BambuTx651	ENSCAFG00805002357	8.40637	15.25349	164.13844	36.45114	17.45995	30.74104	25.44836	52.65773
BambuTx659	ENSCAFG00805002431	25.23722	31.83772	72.82841	54.22814	40.83877	34.36593	57.86545	43.38156
BambuTx682	ENSCAFG00805005944	4.12428	8.98594	4.60066	0	1.95414	6.61316	22.60628	2.1519
BambuTx693	ENSCAFG00805010572	0	0	24.53333	0	0	3	0	0
BambuTx696	ENSCAFG00805012324	129.92685	136.54547	173.58192	280.34254	122.91193	99.30312	125.92131	138.61768
BambuTx698	ENSCAFG00805012495	45.2477	247.1405	312.08858	184.46169	129.41231	107.32831	223.53312	151.60495
BambuTx722	ENSCAFG00805004984	288.51482	41.72005	211.44222	21.20672	46.68784	127.60839	436.17201	14.60038
BambuTx723	ENSCAFG00805005105	15.20587	30.55306	27.29588	2003.89803	898.27623	38.62371	24.56304	625.16703
BambuTx724	ENSCAFG00805005105	6.24175	26.46738	12.6425	26.93703	15.64039	22.38157	5.72616	48.41766
BambuTx728	ENSCAFG00805005450	49.56811	117	307.79064	89	18.20821	67	57.10031	6.47787
BambuTx736	ENSCAFG00805007866	866.70381	1818.78565	3166.06559	3406.35178	1545.13019	1292.44679	1456.49255	1758.59115
BambuTx741	ENSCAFG00805010649	35.52304	4.89474	64.00917	106.21349	43.99926	16.99368	21.7153	41.25
BambuTx749	ENSCAFG00805012117	3.15883	9.19304	14.53953	3.03298	2.60995	0	10	2.554
BambuTx756	BambuGene572	0	0	1.72825	0	0	0	0	9.26124
BambuTx768	ENSCAFG00805013451	1.36475	3.99879	6.88029	0.1342	21.047	6.08051	3.44634	1.16538
BambuTx769	ENSCAFG00805013451	0	0	12.5716	3.20768	0	0	0	2.13679
BambuTx779	ENSCAFG00805013907	13	0	60	0	36	15.9375	30	33.94286
BambuTx782	ENSCAFG00805014472	2	0	9.42823	0	0	1.18869	1	0
BambuTx783	ENSCAFG00805014589	16.55229	29.9338	59.89791	51.7315	34.35953	26.70874	53.21279	53.76956
BambuTx800	ENSCAFG00805018240	4.91564	9.63364	17.84224	7.03979	6.06516	21.73068	9.94732	6.54181
BambuTx806	ENSCAFG00805019532	66.26468	75.4175	344.76724	157.38757	42.38734	120.63139	177.29254	49.5578
BambuTx807	ENSCAFG00805019532	39.68947	31.42396	75.48672	16.41782	9.54627	16.99652	6.43623	5.8879
BambuTx816	ENSCAFG00805026004	184.8	97	337.34936	1067.61616	141.42857	107.10526	216.62791	135.42857
BambuTx819	ENSCAFG00805026258	0	0	14	0	3	0	0	0
BambuTx825	ENSCAFG00805000070	4.2	0	95.93645	0	1.75	17.00403	0	7.5
BambuTx831	ENSCAFG00805000735	0	0	44	0	0	0	0	0
BambuTx833	ENSCAFG00805000798	109.58218	127.04626	228	383	442	288	133.73487	180.76739
BambuTx834	ENSCAFG00805000821	135	212	227	820	217	152	303	224
BambuTx835	ENSCAFG00805001056	5.20547	20.91914	67.23566	200.99694	219.09669	15.97414	74.79086	61.48643
BambuTx843	ENSCAFG00805002356	48.9328	10	12	0.66667	26.71429	87.75	0	7
BambuTx845	ENSCAFG00805002384	11.22439	6.78914	12.1045	9.09909	6.54184	31.33455	0	39.96142
BambuTx856	BambuGene1204	10	20	16.5	100.95238	24.16667	35.69231	89	22
BambuTx873	ENSCAFG00805000157	3.86347	34.76183	46.55837	24.58283	14.7372	43.65056	16.76445	28.80639
BambuTx877	ENSCAFG00805000651	136.40916	261.74425	254.73729	121.70842	29.33792	182.131	213.43466	27.46934
BambuTx891	BambuGene1230	2.35614	3	4.09715	1	0	2.68319	0	0
BambuTx893	BambuGene1230	1.22409	0	1	0	7.38928	0.6584	2.39069	5.08907
BambuTx903	ENSCAFG00805003005	0	0	11	0	0	5	1	0
BambuTx912	BambuGene1257	0	0	8	0	0	3	2	0
BambuTx948	ENSCAFG00805000294	22.12501	6.18461	7.21215	36.96264	13.66036	7.60445	11.21377	2.78017
BambuTx953	ENSCAFG00805000775	115.90774	183.99774	323.65674	1037.60275	175.05369	34	396.81366	180
BambuTx958	BambuGene1759	1.96348	8.05025	27.66705	0	0	1.04067	12.18382	0
BambuTx960	ENSCAFG00805001266	62.41482	188.9653	263.79036	208.89197	181.00003	79.40117	132.9119	53.21014
BambuTx961	ENSCAFG00805001266	98.08043	52.82901	110.34368	21.98863	28.15556	49.40517	39.31197	8.58228
BambuTx962	ENSCAFG00805001469	202.70808	726.92216	193.18847	354.56651	205.90131	13.75187	490.21216	54.56969
BambuTx997	ENSCAFG00805010259	311.54224	210.41321	1096.69275	1516.97325	546.16199	339.61794	433.62475	304.82418
BambuTx1008	ENSCAFG00805005544	287.47826	407.14403	187.90221	280.26404	346.11455	159.89276	277.17153	125.69231
BambuTx1010	ENSCAFG00805007090	149.58399	102.73459	150.64114	84.74404	95.08016	111.61993	137.58157	38.39114
BambuTx1011	ENSCAFG00805007224	388.89501	319.83596	403.03618	990.20711	763.44186	208.25581	423.72414	325.41436
BambuTx1014	ENSCAFG00805010343	10.28059	16.47543	14.70187	11.60284	0	9	16.47891	7.28595
BambuTx1025	BambuGene1377	1	0	21.19231	0	4	0	0	1
BambuTx1035	ENSCAFG00805001276	27.4953	52.62783	19.14756	74.3173	48.71429	11.46958	18.66354	16.20753
BambuTx1038	ENSCAFG00805001816	1.25503	6.94113	32.33899	2.52409	7.712	2.47106	0	0
BambuTx1039	BambuGene1392	0	0	4	0	0	0	0	0
BambuTx1043	ENSCAFG00805002135	466.23877	407.6663	206.4374	594.00003	219	49.10345	617.97629	118.47858
BambuTx1055	BambuGene1427	0	4	7.63773	12.5	5	4	2	3
BambuTx1065	BambuGene1867	50.21071	21	12.25652	33.0795	6.17589	5.75988	2	32.76789
BambuTx1068	BambuGene1867	2.44583	13	71.60031	46.94112	26.57127	7.81437	8	40.03306
BambuTx1076	BambuGene1439	30	55	33	114	19	49	39	68
BambuTx1081	BambuGene1441	0	0	7.99408	0	0	1	0	0
BambuTx1086	ENSCAFG00805001535	242.11573	180.43687	227.384	408.41664	273.11147	217.42845	234.816	133.29969
BambuTx1092	ENSCAFG00805001943	249.96213	362.7861	242.93732	956.58585	203.97496	152.55436	321.34176	265.34553
BambuTx1103	ENSCAFG00805003050	5.71469	35.55984	8.14741	72.42515	42.39207	31.21373	16.97601	22.36842
BambuTx1104	ENSCAFG00805003050	11.42937	35.55984	38.02122	57.94012	28.38564	24.71618	29.70802	17.89474
BambuTx1106	ENSCAFG00805003383	0	0	4	1.01361	5	2	1	7
BambuTx1108	ENSCAFG00805003433	0	37.26923	44.4656	34.10417	10.5257	4.14462	12.73597	43.90419
BambuTx1112	ENSCAFG00805004060	48.13162	101.94087	160.0563	69.88819	39.187	39.38765	52.47555	40.27985
BambuTx1113	ENSCAFG00805004091	39.58921	6.5957	79.09679	0	1.67553	31.16538	45.92473	0
BambuTx1116	ENSCAFG00805004660	88.46154	80.81818	36.11111	66.81481	47.2	46.66667	96.35294	32
BambuTx1123	BambuGene1480	97.91121	171.56639	542.52192	307.10938	108.61725	264.42386	31	89.64535
BambuTx1127	ENSCAFG00805006759	0	24.04668	50.98538	64.14553	23.8157	79.81886	51.88676	3.56332
BambuTx1136	ENSCAFG00805011196	466.60252	591.17353	394.5661	320.50768	153.89596	393.67406	585.26413	134.5918
BambuTx1143	ENSCAFG00805005506	2.1144	0.00001	15.62571	0	0	0	0	8.98868
BambuTx1147	BambuGene1503	2.2164	37.83852	185.04502	16.21195	5.00584	2.47909	1	2.42005
BambuTx1149	BambuGene1503	0	2.81148	36.23457	9.2292	1.8673	0.70999	1	1.16389
BambuTx1150	BambuGene1503	3.7836	27.34999	88.66545	28.55886	2.30665	2.81092	0	5.41605
BambuTx1159	ENSCAFG00805010957	32.18107	46.03179	31.23231	41.89008	28.71327	22.98977	47.83121	13.68677
BambuTx1160	BambuGene1522	10	8	41	15	0	4	11	0
BambuTx1168	ENSCAFG00805013019	24.58012	89.87567	335.05044	95.24191	49.69504	70.49694	80.94398	28.32348
BambuTx1169	ENSCAFG00805013019	19.11972	32.96303	54.40467	39.09084	6.17239	5.711	7.79901	4.09595
BambuTx1181	ENSCAFG00805013282	1.91505	8.64789	22.77754	12.66407	14.59999	30.18407	31.90387	15.86093
BambuTx1183	ENSCAFG00805013676	4.26659	24.46688	21.57448	14.79248	7.81258	19.98155	9.29697	23.45689
BambuTx1189	ENSCAFG00805013774	77.76733	102.2778	127.34884	125.60898	32.50324	105.75266	231.00369	144.23339
BambuTx1199	ENSCAFG00805014308	11	30	138	22	5	93.85321	89	5
BambuTx1201	ENSCAFG00805015527	114	247	118	469	42	156	206	13
BambuTx1204	ENSCAFG00805017553	118.3258	1714.12498	4113.26824	2552.54119	2100.09091	1619.56993	780.17348	864.28309
BambuTx1210	ENSCAFG00805018381	415.01578	332.77561	1576.10885	11098.52841	1870.05003	649.38429	2735.07507	996.52813
BambuTx1216	ENSCAFG00805020591	183.72713	2248.15434	3282.18119	2281.30519	2491.32885	475.17886	319.32057	621.12924
BambuTx1236	ENSCAFG00805025338	12.18339	33.41653	23.7994	69.95322	47.86512	58.01228	111.8416	1.22444
BambuTx1237	ENSCAFG00805025716	156	323.04353	286.06632	231.85862	109.92857	819.61945	89.82563	67.64442
BambuTx1238	ENSCAFG00805025810	83	240	344	158	117	756.08459	171	50
BambuTx1240	ENSCAFG00805026332	5445.9968	7512.3291	26162.61658	19336.47794	7371.04892	18238.15998	5087.47826	3315.72039
BambuTx1252	ENSCAFG00805000457	121.96154	244.92275	298.29811	205.23761	107.94942	564.45261	171.34403	28.39957
BambuTx1253	ENSCAFG00805001077	616.66216	650.56667	1005.84461	1460.55608	658.20513	3419.01099	711.45786	271.88406
BambuTx1264	ENSCAFG00805003513	365.01613	115	483.44182	0	8	87.68421	81	0
BambuTx1274	BambuGene2062	8	19	36.76636	15.56021	14.31261	6.50502	8.7013	10
BambuTx1286	ENSCAFG00805004398	606.75433	0	616.95888	0	0	1.38041	0	0
BambuTx1288	ENSCAFG00805004474	0.00001	0	70.38705	0.00004	0	140.97509	0	0
BambuTx1289	ENSCAFG00805004474	54.53616	156.49044	70.38705	201.0203	169.79993	140.97509	339.24903	99.07955
BambuTx1291	ENSCAFG00805004541	43	47	102.87745	119.86543	70	56	56.76897	37
BambuTx1292	ENSCAFG00805004541	13.11427	8.47679	13.15871	50.20253	19.34215	4.09976	9.07437	9.73397
BambuTx1311	ENSCAFG00805002698	101.41675	199.70999	91.94613	175.4044	76.05039	144.12963	82.57545	53.7409
BambuTx1312	ENSCAFG00805002698	170.25724	342.97116	548.88399	262.45165	91.84177	461.65411	311.34599	130.12548
BambuTx1318	ENSCAFG00805002861	0	0.25	4.92246	5.11111	1.125	511.94498	0	1.66667
BambuTx1322	BambuGene2113	19	7.1	5.66667	8.3612	0	15.81818	9.36633	9
BambuTx1323	BambuGene2113	38	63.9	11.33333	69.4959	24	71.18182	23.41583	63
BambuTx1326	BambuGene2116	4.98351	0	19.11992	0	0	3.00117	2.15178	0
BambuTx1327	BambuGene2116	4.25177	0	46.98675	24.65001	3.81988	17.09368	17.37044	7.00224
BambuTx1328	ENSCAFG00805003687	12.1721	101.17192	29.48288	136.92004	87.25883	205.63214	186.22493	37.05624
BambuTx1334	ENSCAFG00805003814	68.66423	88.54403	93.454	288.77723	198.05435	83.26631	118.71592	41.54111
BambuTx1335	BambuGene2131	118	181	184	445	409	316	181	122
BambuTx1338	BambuGene2567	204	106	42	105	229	107	25	111
BambuTx1342	BambuGene2569	13.60465	29.14254	72.8829	131.00696	99.539	62.31819	19.125	81.18988
BambuTx1347	ENSCAFG00805007551	122.86672	262.27486	224	325.74647	409	226.61139	307.43322	133.62659
BambuTx1351	BambuGene2579	1	462	262	0	0	0	587	88
BambuTx1354	ENSCAFG00805010448	1.04633	18.11662	6.66937	19	14.13523	0	43.1086	11
BambuTx1356	ENSCAFG00805012057	532.55934	80.50309	100	809.17714	278.64147	462.78784	591.16054	77.80478
BambuTx1357	BambuGene2606	9.88858	1.095	2.33833	0	3.08787	2	6.36559	9.1996
BambuTx1359	BambuGene2606	7.28613	14.83403	9.18674	10.58153	5.0788	6.10585	10.40876	6.66667
BambuTx1370	BambuGene2192	6	0	3	27	15	0	2	10
BambuTx1372	ENSCAFG00805001178	0	0	6.5713	61.43785	8.41465	1.5	1.5	15.74132
BambuTx1373	BambuGene2196	1.55822	10.4162	17.45945	3.33528	7.69686	7.06897	0	18.02998
BambuTx1379	ENSCAFG00805001301	2	2	9	3	3	3	0	24
BambuTx1406	BambuGene2668	9	18.12053	3.44186	13.40206	30.12281	22.8	6.60289	12.4
BambuTx1407	BambuGene2668	59.4	45.71957	55.06977	101.85567	63.78947	56.4	101.32429	43.4
BambuTx1419	BambuGene2277	9.77778	5	3	136.04698	22	6	11.5	58.625
BambuTx1421	ENSCAFG00805013382	49.51116	4	14.59333	0	0	7.55263	29.14664	0
BambuTx1427	ENSCAFG00805014505	95.74373	37.50589	95.4706	66.24748	224.65477	98.14511	27.33778	62.33395
BambuTx1440	ENSCAFG00805026214	31.66667	31.05882	34.92261	62.5	85.99558	67.86207	22.33333	16.33333
BambuTx1442	BambuGene2312	13.58824	8.57143	17.94143	12.6	13.17647	12.83333	0	12.85714
BambuTx1463	ENSCAFG00805014504	21.5908	77.60659	66.94768	87.2	37.34482	72.67267	55.55686	10.50629
BambuTx1464	ENSCAFG00805015389	19.39434	11.73933	70.8139	60.35713	0	19.54765	18.57576	5.41823
BambuTx1475	ENSCAFG00805018246	45.28793	43.73309	43.74104	133.33685	33.09299	164.81174	86.78111	54.39851
BambuTx1486	ENSCAFG00805022594	29.22771	66.4331	43.35484	175.87707	52.38719	53.71429	66.36876	50.19351
BambuTx1489	ENSCAFG00805023589	57.4	130.58824	65.48673	374.49724	67.83051	185.16667	183.11594	46.15385
BambuTx1494	ENSCAFG00805000140	51.04918	40.41667	39.82759	52.86957	68.92683	135.96491	38.03226	75
BambuTx1497	BambuGene2795	25	19	57	31	20	9	8	31
BambuTx1498	ENSCAFG00805000773	17.97685	155.08258	175.7795	127.41521	109.60813	154.37058	44.4984	63.99549
BambuTx1503	ENSCAFG00805001552	10.57847	2.91845	6.04339	14.83617	7.54989	24.01633	2.00733	1.44593
BambuTx1505	BambuGene2801	2	1	1	0	2	8	1	0
BambuTx1510	ENSCAFG00805003055	4.66667	0	1.233	8.8897	6.0183	2.52926	1.4	1.06124
BambuTx1521	ENSCAFG00805004159	129.82075	99.93506	56.94231	0	27.21622	82.12195	21.72222	0
BambuTx1523	ENSCAFG00805004285	200.40486	304.75831	230.22707	462.03974	193.17259	238.84615	213.80069	97.61345
BambuTx1528	ENSCAFG00805004727	59.63468	112.30345	282.33923	171.7302	151.91718	402.62524	111.17578	81.88407
BambuTx1530	BambuGene2832	7	3	7.5	5	0	7.7	3	1
BambuTx1532	ENSCAFG00805000849	91.04707	215.31738	99.4118	201.75555	50.7834	131.31245	77.49762	26.28636
BambuTx1534	ENSCAFG00805002147	0	18.08943	135.29951	0	0	10.75878	0	0
BambuTx1536	BambuGene2846	118	68	80	409	83	229	146	167
BambuTx1537	ENSCAFG00805003232	231.6831	285.3468	156.02267	349.65831	128.7749	359.95122	367.35838	97.125
BambuTx1539	ENSCAFG00805003523	156.76514	315.85144	286.96128	852.99561	298.97272	318.89686	366.46412	185
BambuTx1540	ENSCAFG00805003690	8.38766	27.35776	52.43923	105.48526	22.34646	55.80941	87.95658	13.17942
BambuTx1545	ENSCAFG00805003721	1206.96724	175.86558	384.00866	20.41008	69.40945	843.37578	426.19658	10.90952
BambuTx1554	ENSCAFG00805004550	105.02084	8.60157	38.79238	146.14986	30.28664	15.98364	5.4238	0
BambuTx1558	ENSCAFG00805001171	53.02601	150.26524	91.6625	225.74362	62.78575	115.88799	54.37655	103.34523
BambuTx1559	ENSCAFG00805001261	2	8	42	0	0	66	0	0
BambuTx1561	ENSCAFG00805001546	3	1	1.11111	1.0396	0	1	7.4	0
BambuTx1565	BambuGene2478	9.33333	7.28571	58.8	33.96774	13	4	3	11
BambuTx1568	BambuGene2484	6.64949	0	3.51016	0	0	0	0	0
BambuTx1570	ENSCAFG00805003136	3309.01516	0	46.42692	268.3671	0	1.5	710.25711	0
BambuTx1571	ENSCAFG00805003286	16.72677	61.99111	67.70434	11.29841	0	92.6909	99.3052	0
BambuTx1575	BambuGene2494	0	0	2	2	0	1	0	2
BambuTx1578	ENSCAFG00805003938	138.66388	65.7388	313.51282	650.13652	65.56883	142.5725	133.0689	66.56598
BambuTx1583	ENSCAFG00805004379	5.84476	14.2088	56.84643	12.48235	1.88572	21.34184	29.77262	5.40434
BambuTx1593	ENSCAFG00805007386	43	38	20.83333	56.18887	12.66667	54.61538	28.76923	18.18182
BambuTx1600	ENSCAFG00805011580	6.02563	112.68492	23.87142	80.46502	34.77499	82.63299	89.38421	48.63284
BambuTx1601	ENSCAFG00805011633	132.51282	35.28571	609.15698	0	0	42.75	99.69231	0
BambuTx1603	BambuGene2928	23.22104	27.59788	13.08551	20.28872	1.43019	19.875	15.83854	1.43589
BambuTx1607	BambuGene2556	4	20	12	39	16	37	4	2
BambuTx1610	ENSCAFG00805007459	93.36986	81	352.32212	61	65	134.21488	86.21053	10
